longitude,latitude
-119.84,36.77
-117.8,33.68
-120.19,36.6
-118.32,34.1
-121.23,37.79
-118.32,33.79
-118.43,34.01
-117.07,32.64
-119.33,36.22
-122.47,37.5
-118.46,34.07
-122.26,37.98
-117.89,34.12
-117.92,33.83
-118.35,34.28
-118.31,34.06
-122.43,37.75
-116.89,33.79
-120.41,34.86
-119.15,34.44
-117.85,34.11
-118.04,33.93
-118.37,33.88
-117.02,32.95
-118.25,34.08
-121.94,37.94
-117.05,33.1
-118.39,34.0
-117.34,34.49
-121.94,38.27
-117.97,33.81
-117.71,33.61
-117.7,34.07
-117.12,32.58
-119.31,36.06
-117.96,33.82
-118.39,34.09
-118.45,34.07
-118.08,33.86
-118.23,33.96
-122.55,37.59
-121.9,38.03
-121.36,38.69
-119.34,36.62
-122.1,37.37
-118.09,34.06
-117.2,32.77
-121.27,38.71
-121.49,38.56
-117.26,33.08
-121.32,38.71
-121.8,37.3
-122.23,38.15
-118.24,33.96
-122.13,37.43
-118.23,33.88
-118.42,33.75
-122.03,37.55
-122.27,37.55
-119.22,34.28
-122.09,37.63
-121.4,38.66
-121.95,37.35
-121.97,37.32
-121.33,38.04
-118.01,33.91
-121.39,38.55
-121.97,37.51
-122.43,37.81
-121.63,38.03
-118.37,33.84
-121.4,36.83
-121.88,37.35
-118.36,34.18
-117.11,33.12
-118.21,33.79
-122.45,37.74
-119.82,36.82
-122.23,37.79
-118.17,33.92
-118.56,34.18
-117.96,33.7
-117.9,33.74
-118.34,34.05
-119.74,34.41
-118.44,34.01
-119.25,35.78
-121.7,37.91
-117.63,33.65
-119.37,36.21
-117.22,32.85
-121.47,38.72
-120.62,35.12
-117.59,33.65
-124.09,40.86
-122.53,37.92
-122.3,38.29
-116.38,34.1
-121.55,39.51
-119.75,34.44
-122.1,37.66
-122.53,37.97
-121.27,38.67
-122.62,38.94
-118.23,33.8
-117.66,34.15
-121.49,39.52
-118.14,33.96
-120.14,36.04
-122.2,39.75
-117.74,34.04
-117.08,32.57
-118.36,33.82
-118.39,33.79
-118.22,34.09
-117.24,33.11
-115.54,32.79
-120.08,39.23
-117.24,32.8
-121.48,38.52
-118.42,34.25
-118.5,34.02
-118.45,34.22
-120.66,35.5
-119.29,36.33
-115.69,32.79
-117.92,33.73
-122.49,37.79
-121.88,36.59
-117.17,32.73
-116.98,32.62
-116.9,32.77
-117.69,34.04
-118.85,34.21
-118.12,34.01
-118.47,34.26
-122.07,37.57
-119.78,36.72
-123.41,40.61
-122.35,37.93
-119.15,34.83
-117.48,34.1
-116.99,32.64
-122.42,37.79
-118.24,34.06
-118.91,35.4
-119.19,34.23
-117.92,33.79
-121.91,36.63
-117.11,33.78
-121.66,39.09
-118.19,33.86
-119.81,36.81
-122.47,37.65
-118.44,34.17
-121.34,37.96
-120.45,34.65
-121.95,37.35
-119.87,36.79
-118.31,33.94
-120.88,38.58
-118.31,33.89
-122.18,37.8
-123.36,39.41
-118.37,33.93
-118.28,33.93
-117.43,33.98
-122.26,37.77
-122.51,38.76
-122.25,38.11
-124.08,40.87
-122.08,37.39
-119.56,37.29
-121.95,37.25
-118.56,34.42
-118.16,34.18
-122.31,37.55
-117.7,33.53
-122.27,41.2
-118.2,33.96
-118.09,34.08
-118.15,34.15
-117.64,34.04
-119.74,36.78
-119.36,36.22
-117.67,34.13
-118.01,34.14
-117.19,33.69
-118.34,34.09
-120.55,38.31
-121.7,36.67
-119.27,35.89
-118.46,34.26
-122.47,37.72
-118.28,34.04
-122.48,37.78
-122.03,37.35
-117.76,33.71
-122.45,37.78
-120.94,40.17
-117.91,33.91
-114.67,33.92
-119.43,36.61
-118.11,33.79
-121.58,39.15
-116.39,34.15
-122.05,37.38
-119.19,34.21
-117.86,33.75
-122.0,37.51
-118.55,34.27
-121.39,38.63
-118.23,34.14
-118.13,34.08
-121.82,37.32
-122.07,37.69
-117.31,34.05
-117.15,32.81
-118.25,34.09
-117.88,33.74
-117.11,32.77
-119.72,34.77
-117.07,32.75
-118.15,33.93
-122.26,37.83
-117.91,33.83
-116.62,34.23
-118.0,33.89
-122.41,37.72
-120.09,39.4
-119.57,37.94
-121.98,37.37
-121.99,36.99
-118.17,33.86
-117.92,33.85
-122.43,37.79
-118.15,34.11
-118.3,33.74
-119.64,37.31
-117.34,33.06
-118.31,34.09
-118.41,33.89
-118.49,34.18
-122.24,38.01
-122.23,37.79
-117.92,34.11
-118.39,34.03
-121.55,39.51
-117.95,35.13
-118.56,34.14
-122.12,37.43
-121.99,37.36
-117.01,32.79
-122.0,37.12
-122.5,37.76
-120.84,37.43
-121.89,37.45
-117.06,32.55
-117.98,33.91
-121.02,39.17
-119.67,36.72
-118.12,33.95
-117.81,33.67
-122.47,38.5
-118.38,33.87
-118.15,34.11
-119.55,37.75
-121.39,38.62
-118.16,34.02
-122.69,39.02
-118.07,34.51
-122.24,37.85
-117.22,33.22
-121.93,37.25
-122.41,37.59
-118.36,34.08
-117.59,33.44
-121.81,38.49
-116.96,32.79
-121.42,38.57
-119.03,35.32
-121.54,38.59
-118.0,33.87
-118.23,33.94
-116.99,34.88
-118.98,35.39
-118.55,34.19
-121.47,39.49
